Estep = 0.000100; Niter = 21; Ntrial = 10000000
Energy, # of states, average Ev, average coupling
0.0432743,1.000000,0.0432743,0.00018502
0.0433743,0.000000,0.0000000,-0.04327430
0.0434743,0.000000,0.0000000,-0.04327430
0.0435743,0.000000,0.0000000,-0.04327430
0.0436743,0.000000,0.0000000,-0.04327430
0.0437743,0.000000,0.0000000,-0.04327430
0.0438743,0.000000,0.0000000,-0.04327430
0.0439743,0.000000,0.0000000,-0.04327430
0.0440743,0.000000,0.0000000,-0.04327430
0.0441743,0.000000,0.0000000,-0.04327430
0.0442743,0.000000,0.0000000,-0.04327430
0.0443743,0.000000,0.0000000,-0.04327430
0.0444743,0.000000,0.0000000,-0.04327430
0.0445743,0.000000,0.0000000,-0.04327430
0.0446743,0.000000,0.0000000,-0.04327430
0.0447743,0.000000,0.0000000,-0.04327430
0.0448743,0.000000,0.0000000,-0.04327430
0.0449743,0.000000,0.0000000,-0.04327430
0.0450743,0.000000,0.0000000,-0.04327430
0.0451743,0.000000,0.0000000,-0.04327430
0.0452743,0.000000,0.0000000,-0.04327430
0.0453743,0.000000,0.0000000,-0.04327430
0.0454743,0.000000,0.0000000,-0.04327430
0.0455743,0.000000,0.0000000,-0.04327430
0.0456743,0.000000,0.0000000,-0.04327430
0.0457743,1.981205,0.0458374,0.00066635
0.0458743,0.000000,0.0000000,-0.04327430
0.0459743,0.000000,0.0000000,-0.04327430
0.0460743,0.000000,0.0000000,-0.04327430
0.0461743,0.000000,0.0000000,-0.04327430
0.0462743,0.000000,0.0000000,-0.04327430
0.0463743,0.000000,0.0000000,-0.04327430
0.0464743,0.000000,0.0000000,-0.04327430
0.0465743,0.000000,0.0000000,-0.04327430
0.0466743,0.000000,0.0000000,-0.04327430
0.0467743,0.000000,0.0000000,-0.04327430
0.0468743,0.000000,0.0000000,-0.04327430
0.0469743,0.000000,0.0000000,-0.04327430
0.0470743,0.000000,0.0000000,-0.04327430
0.0471743,0.000000,0.0000000,-0.04327430
0.0472743,0.000000,0.0000000,-0.04327430
0.0473743,0.000000,0.0000000,-0.04327430
0.0474743,0.000000,0.0000000,-0.04327430
0.0475743,0.000000,0.0000000,-0.04327430
0.0476743,0.000000,0.0000000,-0.04327430
0.0477743,0.000000,0.0000000,-0.04327430
0.0478743,1.002337,0.0479237,0.00058821
0.0479743,0.000000,0.0000000,-0.04327430
0.0480743,0.000000,0.0000000,-0.04327430
0.0481743,0.000000,0.0000000,-0.04327430
0.0482743,2.019352,0.0483471,0.00118420
0.0483743,1.047592,0.0484343,0.00107722
0.0484743,0.000000,0.0000000,-0.04327430
0.0485743,0.000000,0.0000000,-0.04327430
0.0486743,0.000000,0.0000000,-0.04327430
0.0487743,0.000000,0.0000000,-0.04327430
0.0488743,2.077494,0.0489594,0.00078554
0.0489743,0.000000,0.0000000,-0.04327430
0.0490743,0.000000,0.0000000,-0.04327430
0.0491743,0.000000,0.0000000,-0.04327430
0.0492743,0.000000,0.0000000,-0.04327430
0.0493743,0.000000,0.0000000,-0.04327430
0.0494743,0.000000,0.0000000,-0.04327430
0.0495743,0.000000,0.0000000,-0.04327430
0.0496743,0.975281,0.0497687,0.00028420
0.0497743,0.000000,0.0000000,-0.04327430
0.0498743,1.016795,0.0498815,0.00026023
0.0499743,0.000000,0.0000000,-0.04327430
0.0500743,0.000000,0.0000000,-0.04327430
0.0501743,0.000000,0.0000000,-0.04327430
0.0502743,0.000000,0.0000000,-0.04327430
0.0503743,1.047922,0.0504206,0.00110548
0.0504743,0.990092,0.0504865,0.00103431
0.0505743,0.000000,0.0000000,-0.04327430
0.0506743,0.000000,0.0000000,-0.04327430
0.0507743,2.030167,0.0508312,0.00170382
0.0508743,1.028343,0.0508980,0.00159450
0.0509743,1.053376,0.0510045,0.00152332
0.0510743,0.000000,0.0000000,-0.04327430
0.0511743,0.000000,0.0000000,-0.04327430
0.0512743,0.980806,0.0513614,0.00131020
0.0513743,1.009244,0.0514616,0.00122435
0.0514743,0.994389,0.0515414,0.00129552
0.0515743,0.978514,0.0516023,0.00123903
0.0516743,0.000000,0.0000000,-0.04327430
0.0517743,0.000000,0.0000000,-0.04327430
0.0518743,0.000000,0.0000000,-0.04327430
0.0519743,0.000000,0.0000000,-0.04327430
0.0520743,0.000000,0.0000000,-0.04327430
0.0521743,0.000000,0.0000000,-0.04327430
0.0522743,1.992927,0.0523372,0.00076745
0.0523743,1.039118,0.0524229,0.00077751
0.0524743,1.011901,0.0525403,0.00070633
0.0525743,1.074210,0.0525849,0.00099139
0.0526743,0.000000,0.0000000,-0.04327430
0.0527743,0.000000,0.0000000,-0.04327430
0.0528743,1.998282,0.0529168,0.00158864
0.0529743,1.022047,0.0530426,0.00148041
0.0530743,0.000000,0.0000000,-0.04327430
0.0531743,0.000000,0.0000000,-0.04327430
0.0532743,3.122268,0.0533076,0.00217976
0.0533743,1.018011,0.0534288,0.00204060
0.0534743,2.061852,0.0535226,-0.00006157
0.0535743,2.090060,0.0536447,0.00118865
0.0536743,1.000050,0.0537346,0.00182748
0.0537743,0.000000,0.0000000,-0.04327430
0.0538743,1.969441,0.0539610,0.00171125
0.0539743,1.014401,0.0540076,0.00174162
0.0540743,0.973582,0.0541013,0.00181280
0.0541743,1.026173,0.0542353,0.00168513
0.0542743,0.981586,0.0543709,0.00068739
0.0543743,0.000000,0.0000000,-0.04327430
0.0544743,1.048045,0.0545188,0.00066342
0.0545743,0.000000,0.0000000,-0.04327430
0.0546743,0.000000,0.0000000,-0.04327430
0.0547743,3.004709,0.0548376,0.00131578
0.0548743,1.984079,0.0549368,0.00123123
0.0549743,1.986863,0.0550392,0.00136421
0.0550743,1.010904,0.0551271,0.00143749
0.0551743,1.063867,0.0551924,0.00115243
0.0552743,3.035493,0.0553278,0.00165141
0.0553743,3.126087,0.0554386,0.00164744
0.0554743,1.020026,0.0554749,0.00087743
0.0555743,3.047326,0.0556050,0.00118712
0.0556743,3.088381,0.0557324,0.00270467
0.0557743,1.069897,0.0558276,0.00255788
0.0558743,1.932771,0.0559619,0.00039526
0.0559743,2.043592,0.0560068,-0.00000633
0.0560743,2.947122,0.0561102,0.00208728
0.0561743,2.984233,0.0562127,0.00122755
0.0562743,2.011228,0.0563262,0.00126483
0.0563743,3.070150,0.0564529,0.00154195
0.0564743,1.982200,0.0565414,0.00223119
0.0565743,1.008810,0.0566357,0.00233007
0.0566743,0.000000,0.0000000,-0.04327430
0.0567743,1.013176,0.0568616,0.00213123
0.0568743,1.976534,0.0569056,0.00117082
0.0569743,2.133815,0.0570157,0.00069097
0.0570743,1.031835,0.0571570,0.00110952
0.0571743,2.030071,0.0572484,0.00161893
0.0572743,2.995176,0.0573533,0.00181107
0.0573743,3.090941,0.0574308,0.00182962
0.0574743,3.095127,0.0575217,0.00176901
0.0575743,4.164119,0.0576365,0.00082156
0.0576743,3.152399,0.0577423,0.00162789
0.0577743,4.043885,0.0578130,0.00166229
0.0578743,3.102756,0.0579351,0.00190934
0.0579743,4.075232,0.0580195,0.00149099
0.0580743,5.061547,0.0581307,0.00267905
0.0581743,2.851578,0.0581954,0.00190596
0.0582743,5.243602,0.0583312,0.00192739
0.0583743,4.024055,0.0584441,0.00064247
0.0584743,3.009561,0.0585321,-0.00136212
0.0585743,4.036156,0.0586034,0.00229309
0.0586743,2.996014,0.0587079,0.00199275
0.0587743,2.009467,0.0588185,0.00177496
0.0588743,5.172198,0.0589195,0.00217853
0.0589743,4.030976,0.0590002,0.00137814
0.0590743,4.149777,0.0591565,0.00184554
0.0591743,0.000000,0.0000000,-0.04327430
0.0592743,1.039590,0.0593585,0.00172194
0.0593743,1.005968,0.0594039,0.00165076
0.0594743,5.863554,0.0595016,0.00149525
0.0595743,3.109369,0.0596424,0.00198902
0.0596743,1.031978,0.0597588,0.00234953
0.0597743,7.218150,0.0598179,0.00215900
0.0598743,6.075586,0.0599250,0.00162073
0.0599743,4.079840,0.0600385,0.00110300
0.0600743,8.946951,0.0601296,0.00142817
0.0601743,6.211454,0.0602316,0.00211847
0.0602743,5.071387,0.0603101,0.00169174
0.0603743,2.923069,0.0603822,0.00103748
0.0604743,10.247678,0.0605099,0.00278113
0.0605743,5.251093,0.0606516,0.00259538
0.0606743,7.904023,0.0607300,0.00191563
0.0607743,3.016584,0.0608019,0.00251815
0.0608743,9.236955,0.0609172,0.00054424
0.0609743,7.268698,0.0610440,0.00130500
0.0610743,4.016987,0.0611292,0.00186017
0.0611743,1.952594,0.0611983,0.00301072
0.0612743,7.866052,0.0613297,0.00186700
0.0613743,4.904725,0.0614194,0.00247687
0.0614743,6.199996,0.0615035,0.00187337
0.0615743,4.966929,0.0616456,0.00160444
0.0616743,0.993044,0.0617226,0.00309461
0.0617743,6.196119,0.0618375,0.00116903
0.0618743,9.113778,0.0619305,0.00155997
0.0619743,9.214615,0.0620366,0.00205595
0.0620743,5.008278,0.0621159,0.00201466
0.0621743,6.213946,0.0622293,0.00202753
0.0622743,9.846223,0.0623100,0.00227866
0.0623743,10.097191,0.0624187,0.00158683
0.0624743,9.897022,0.0625300,0.00165458
0.0625743,12.056782,0.0626401,0.00156234
0.0626743,9.265646,0.0627223,0.00145988
0.0627743,10.473476,0.0628265,0.00247311
0.0628743,13.479938,0.0629319,0.00252918
0.0629743,7.866194,0.0630176,0.00196166
0.0630743,6.344090,0.0631155,0.00311598
0.0631743,10.390350,0.0632391,0.00236731
0.0632743,9.158095,0.0633168,0.00157214
0.0633743,11.196393,0.0634153,0.00086100
0.0634743,10.912811,0.0635225,0.00188018
